{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf610,,,,,,,,,,,,,,,,,,
{\fonttbl\f0\fswiss\fcharset0 Helvetica;},,,,,,,,,,,,,,,,,,
{\colortbl;\red255\green255\blue255;},,,,,,,,,,,,,,,,,,
{\*\expandedcolortbl;;},,,,,,,,,,,,,,,,,,
\margl1440\margr1440\vieww10800\viewh8400\viewkind0,,,,,,,,,,,,,,,,,,
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
\f0\fs24 \cf0 #id,title,formula,class,total_number,atom_type,tool,potential,bandgap[eV],dielectric_total,dielectric_electron,dielectric_ion,atomization_energy[eV/atom],total_energy[eV],cutoff_energy[eV],k-points,author,SMILES\,
3857,Isotactic Poly(methyl methacrylate),C100H160O40,,300,3,VASP 5,PBE,,,,,,,400,1x2x2,Lihua Chen (lhc0807@gmail.com),\,
3856,Syndiotactic Polystyrene,C64H64,,128,2,VASP 5,PBE,,,,,,,400,3x1x6,Lihua Chen (lhc0807@gmail.com),\,
3855,Isotactic Polystyrene,C144H144,,288,2,VASP 5,PBE,,,,,,,400,1x1x4,Lihua Chen (lhc0807@gmail.com),\,
3854,Syndiotactic Polypropylene,C24H48,,72,2,VASP 5,PBE,,,,,,,400,6x4x2,Lihua Chen (lhc0807@gmail.com),\,
3853,Isotactic Polypropylene,C36H72,,108,2,VASP 5,PBE,,,,,,,400,4x1x4,Lihua Chen (lhc0807@gmail.com),\,
3852,Polyethylene,C4H8,,12,2,VASP 5,PBE,,,,,,,400,4x4x10,Lihua Chen (lhc0807@gmail.com),\,
3323,Polyethylene/Al interface,Al72C80H160O8,,320,4,VASP 5,PBE,,,,,,,400,2x2x1,Lihua Chen (lhc0807@gmail.com),\,
3322,Polyethylene/Al interface,Al72C80H144O8,,304,4,VASP 5,PBE,,,,,,,400,2x2x1,Lihua Chen (lhc0807@gmail.com),\,
3321,Polyethylene/Al interface,Al72C84H160O8,,324,4,VASP 5,PBE,,,,,,,400,2x2x1,Lihua Chen (lhc0807@gmail.com),\,
3320,Polyethylene/Al interface,Al72C72H144O8,,296,4,VASP 5,PBE,,,,,,,400,2x2x1,Lihua Chen (lhc0807@gmail.com),\,
3319,Polyethylene/Al interface,Al72C80H144O8,,304,4,VASP 5,PBE,,,,,,,400,2x2x1,Lihua Chen (lhc0807@gmail.com),\,
3318,Polyethylene/Al interface,Al72C80H160,,312,3,VASP 5,PBE,,,,,,,400,2x2x1,Lihua Chen (lhc0807@gmail.com),\,
3317,Polyethylene,C24H47Cl1,,72,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3316,Polyethylene,C24H47Br1,,72,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3315,Polyethylene,C24H47I1,,72,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3314,Polyethylene,C22H44O2,,68,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3313,Polyethylene,C24H46O1,,71,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3312,Polyethylene,C25H48O2,,75,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3311,Polyethylene,C24H48O1,,73,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3310,Polyethylene,C24H46O1,,71,3,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3309,Polyethylene,C25H48,,73,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3308,Polyethylene,C24H44,,68,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3307,Polyethylene,C24H46,,70,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3306,Polyethylene,C800H1602,,2402,2,VASP 5,PBE,,,,,,,400,1x1x1,Lihua Chen (lhc0807@gmail.com),\,
3305,Polyethylene,C400H802,,1202,2,VASP 5,PBE,,,,,,,400,1x1x1,Lihua Chen (lhc0807@gmail.com),\,
3304,Polyethylene,C400H802,,1202,2,VASP 5,PBE,,,,,,,400,1x1x1,Lihua Chen (lhc0807@gmail.com),\,
3303,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3302,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3301,Polyethylene,C40H80,,120,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3300,Polyethylene,C45H88,,133,2,VASP 5,PBE,,,,,,,400,4x2x2,Lihua Chen (lhc0807@gmail.com),\,
3299,Polyethylene,C44H88,,132,2,VASP 5,PBE,,,,,,,400,2x2x2,Lihua Chen (lhc0807@gmail.com),\,
3298,Polyethylene,C43H86,,129,2,VASP 5,PBE,,,,,,,400,2x2x2,Lihua Chen (lhc0807@gmail.com),\,
