------------------------------------------------------------
 XX
------------------------------------------------------------
Time (ps), Stress (MPa)
                   0,       730.0280723925
                0.05,         556.31636067
                 0.1,        -195.19357431
                0.15,       -137.525200365
                 0.2,       327.3586517775
                0.25,         -114.3898455
                 0.3,       -303.513545685
                0.35,       180.8267734875
                 0.4,       141.5171925825
                0.45,       -293.671483665
                 0.5,         114.46016505
                0.55,       194.3397794625
                 0.6,      -298.5606479625
                0.65,       59.05289191725
                 0.7,         207.60288759
                0.75,      -122.6072320725
                 0.8,      -144.5981818575
                0.85,       67.79160777375
                 0.9,       18.94738084575
                0.95,      -161.0973977025
                   1,        -23.469751683
                1.05,        -112.74096351
                 1.1,        -102.41505435
                1.15,       -26.9760040095
                 1.2,         107.77348512
                1.25,       -43.2266047815
                 1.3,      -9.289386935325
                1.35,         52.661228844
                 1.4,      -25.07175971475
                1.45,         -149.9857233
                 1.5,       60.29229121125
                1.55,         63.339821958
                 1.6,        -63.837218277
                1.65,       134.2741168125
                 1.7,         72.218469666
                1.75,        146.925890685
                 1.8,        10.4834877735
                1.85,         58.021143012
                 1.9,       70.61161424625
                1.95,        -209.72888874
                   2,       -42.4844680575
                2.05,       180.8128311675
                 2.1,      -125.8016445525
                2.15,         8.0224640223
                 2.2,       40.14042462675
                2.25,       -87.3099752595
                 2.3,      -36.88325346825
                2.35,        -94.484780271
                 2.4,       124.7173454625
                2.45,        -126.43661793
                 2.5,       24.28569252375
                2.55,       153.7849143075
                 2.6,       16.92666852975
                2.65,       111.5459871225
                 2.7,       -42.5568505845
                2.75,      -25.13929485375
                 2.8,        32.4603858075
                2.85,      -56.55825420525
                 2.9,       -193.946932305
                2.95,        -39.345535068
                   3,      -21.00386493975
                3.05,       123.6110385825
                 3.1,        -50.075313519
                3.15,      -30.79594739025
                 3.2,         80.140317558
                3.25,       -100.922533047
                 3.3,      -78.51561475275
                3.35,         64.746119739
                 3.4,         30.809637411
                3.45,      -20.20083594375
                 3.5,        101.668755195
                3.55,       -103.137562395
                 3.6,       -283.922681175
                3.65,     -101.15457844275
                 3.7,       73.93184197875
                3.75,        -96.944947218
                 3.8,        -163.42915953
                3.85,        176.268111075
                 3.9,      -39.26379517725
                3.95,        2.57104790775
                   4,       -202.867382655
                4.05,         68.155474968
                 4.1,        12.9798439575
                4.15,       -266.269637025
                 4.2,       109.6659422775
                4.25,        145.109376615
                 4.3,       38.52564255225
                4.35,      101.21121911775
                 4.4,       -4.36725361065
                4.45,       14.32062398025
                 4.5,       212.9767906875
                4.55,        31.3447043385
                 4.6,         2.7215027658
                4.65,      -47.95016451225
                 4.7,        -65.363411904
                4.75,      -64.29846487575
                 4.8,      -159.9070316025
                4.85,       -74.0848336095
                 4.9,       64.43414918325
                4.95,        -47.864296641

------------------------------------------------------------
 YY
------------------------------------------------------------
Time (ps), Stress (MPa)
                   0,       840.9181726575
                0.05,       586.0288124775
                 0.1,       41.85935664225
                0.15,      -69.42201416325
                 0.2,       333.7680659775
                0.25,      -27.19146858225
                 0.3,       -240.540949845
                0.35,         172.94078046
                 0.4,          31.89358389
                0.45,      -211.4414940225
                 0.5,       55.30623386925
                0.55,          194.9343039
                 0.6,          -149.405739
                0.65,         24.860084697
                 0.7,        82.5331499895
                0.75,       67.99509471825
                 0.8,       -104.750980635
                0.85,       246.0571943025
                 0.9,       90.60380073675
                0.95,        -189.42518259
                   1,        142.348473015
                1.05,       14.98796056275
                 1.1,         5.3120275677
                1.15,       -101.982335805
                 1.2,        98.3193215445
