------------------------------------------------------------
 Total Energy
------------------------------------------------------------
Time (ps), Energy (kcal/mol)
                   0,             18085.09
                0.05,            17992.219
                 0.1,            17942.774
                0.15,            17896.432
                 0.2,            17839.901
                0.25,            17801.978
                 0.3,            17787.198
                0.35,             17770.37
                 0.4,            17766.631
                0.45,            17789.568
                 0.5,            17822.211
                0.55,            17865.981
                 0.6,            17901.531
                0.65,            17930.151
                 0.7,            17950.806
                0.75,            17965.789
                 0.8,            17967.227
                0.85,            17960.838
                 0.9,            17973.311
                0.95,            18010.033
                   1,            18042.472
                1.05,            18047.202
                 1.1,            18046.181
                1.15,             18030.64
                 1.2,            18006.795
                1.25,            17943.849
                 1.3,            17905.532
                1.35,              17912.5
                 1.4,            17946.621
                1.45,            17997.385
                 1.5,            18037.439
                1.55,            18058.134
                 1.6,            18073.524
                1.65,            18092.567
                 1.7,            18119.037
                1.75,            18138.243
                 1.8,            18153.188
                1.85,            18148.751
                 1.9,            18121.335
                1.95,            18074.398
                   2,            18040.259
                2.05,            18036.694
                 2.1,            18055.466
                2.15,            18086.762
                 2.2,            18113.018
                2.25,            18127.102
                 2.3,            18153.068
                2.35,            18181.203
                 2.4,            18196.981
                2.45,            18207.832
                 2.5,            18212.442
                2.55,            18196.862
                 2.6,            18141.364
                2.65,            18098.147
                 2.7,            18096.797
                2.75,            18114.844
                 2.8,            18138.932
                2.85,            18172.859
                 2.9,            18205.934
                2.95,            18227.472
                   3,            18241.679
                3.05,            18260.903
                 3.1,            18279.442
                3.15,            18283.399
                 3.2,            18254.888
                3.25,             18195.77
                 3.3,            18152.509
                3.35,            18144.316
                 3.4,            18158.068
                3.45,            18184.126
                 3.5,            18218.021
                3.55,            18243.795
                 3.6,            18252.788
                3.65,            18249.525
                 3.7,              18242.3
                3.75,            18249.536
                 3.8,            18294.171
                3.85,            18355.759
                 3.9,            18370.365
                3.95,            18362.948
                   4,            18348.944
                4.05,            18344.735
                 4.1,            18328.973
                4.15,            18299.178
                 4.2,            18264.847
                4.25,            18231.899
                 4.3,            18212.889
                4.35,            18215.402
                 4.4,            18282.738
                4.45,             18343.01
                 4.5,            18374.472
                4.55,            18401.658
                 4.6,            18423.367
                4.65,             18438.03
                 4.7,            18416.219
                4.75,            18369.004
                 4.8,            18331.199
                4.85,            18315.468
                 4.9,            18312.386
                4.95,            18332.957

------------------------------------------------------------
 Potential Energy
------------------------------------------------------------
Time (ps), Energy (kcal/mol)
                   0,            16431.897
                0.05,            16286.039
                 0.1,            16153.092
                0.15,            15982.751
                 0.2,            15951.995
                0.25,            15910.404
                 0.3,            16058.408
                0.35,            15978.149
                 0.4,            15936.343
                0.45,            15946.898
                 0.5,            15968.951
                0.55,            16076.484
                 0.6,            16097.922
                0.65,            16004.042
                 0.7,             16171.98
                0.75,            16085.599
                 0.8,            16128.692
                0.85,            16173.784
                 0.9,            16163.024
                0.95,            16148.711
                   1,            16099.483
                1.05,            16184.315
                 1.1,            16204.585
                1.15,            16198.138
                 1.2,            16133.726
                1.25,            16094.866
                 1.3,            16055.215
                1.35,            16132.196
                 1.4,            16179.181
                1.45,            16196.735
                 1.5,            16179.015
                1.55,            16154.565
                 1.6,            16202.983
                1.65,            16178.238
                 1.7,            16237.779
                1.75,            16199.155
                 1.8,            16249.284
                1.85,            16259.293
                 1.9,            16208.753
                1.95,            16213.194
                   2,            16162.303
                2.05,            16163.541
                 2.1,            16213.191
                2.15,            16183.563
                 2.2,             16215.51
                2.25,            16242.015
                 2.3,            16232.579
                2.35,            16221.649
                 2.4,            16228.292
                2.45,            16197.528
                 2.5,            16260.454
                2.55,            16247.127
                 2.6,            16261.937
                2.65,             16160.24
                 2.7,            16141.444
                2.75,             16180.56
                 2.8,            16249.821
                2.85,            16271.889
                 2.9,            16257.966
                2.95,            16263.954
                   3,             16282.99
                3.05,            16328.473
                 3.1,            16271.058
                3.15,            16328.747
                 3.2,            16237.823
                3.25,            16258.572
                 3.3,            16195.951
                3.35,            16233.284
                 3.4,            16222.838
                3.45,            16197.666
                 3.5,            16227.278
                3.55,             16255.16
                 3.6,            16238.665
                3.65,            16250.928
                 3.7,            16231.812
                3.75,            16272.399
                 3.8,            16342.993
                3.85,            16269.772
                 3.9,            16301.009
                3.95,            16347.286
                   4,            16349.276
                4.05,             16280.27
                 4.1,            16270.717
                4.15,            16268.777
                 4.2,            16271.822
                4.25,            16192.323
                 4.3,            16218.724
                4.35,            16226.539
                 4.4,            16239.335
                4.45,            16311.845
                 4.5,            16335.094
                4.55,            16342.199
                 4.6,            16333.028
                4.65,            16326.157
                 4.7,            16305.376
                4.75,            16248.031
                 4.8,             16276.67
                4.85,            16258.345
                 4.9,            16276.704
                4.95,            16318.385

