wavenumber,intensity
4001.37,0.00663395483008694
4000.9,0.00649860792620699
4000.42,0.00632330083430379
3999.94,0.0063044473472928
3999.47,0.00638318526996893
3998.99,0.00649664485657926
3998.51,0.0064738664818248
3998.04,0.00628280623044988
3997.56,0.00628313494967103
3997.08,0.00626327706717914
3996.6,0.00615361051718285
3996.13,0.00600096901147703
3995.65,0.00587751840863811
3995.17,0.00591369398155112
3994.7,0.00592758798604477
3994.22,0.00590245236596336
3993.74,0.00586662946023446
3993.26,0.00573392512697283
3992.79,0.00570430811284158
3992.31,0.00580772686660475
3991.83,0.00565340567544111
3991.35,0.00596130084110109
3990.88,0.00392019758190341
3990.4,0.00390522923600868
3989.92,0.00381817535044037
3989.44,0.00391651032859509
3988.96,0.00400341871041402
3988.49,0.00390477920843669
3988.01,0.0039047872103036
3987.53,0.00398868731898786
3987.05,0.00376663723365159
3986.57,0.00342617161847974
3986.09,0.00329767991810183
3985.61,0.00318539871267375
3985.14,0.00297740979391229
3984.66,0.00308380729780393
3984.18,0.00303531205843549
3983.7,0.00310162222463145
3983.22,0.00329053777349837
3982.74,0.00333431348803089
3982.26,0.00333940761000036
3981.78,0.00320884748278767
3981.3,0.00311983534207485
3980.83,0.0033421199726479
3980.35,0.00313962627996281
3979.87,0.00313092379186575
3979.39,0.00304317289199864
3978.91,0.00304210988994041
3978.43,0.00294891113239068
3977.95,0.00297469575342388
3977.47,0.00303754874291423
3976.99,0.00294896820626337
3976.51,0.00294734584236332
3976.03,0.00297531891127053
3975.55,0.00301741415734523
3975.07,0.00296342921204239
3974.59,0.0030054272555659
3974.11,0.00308476453801933
3973.63,0.00294711584899114
3973.15,0.00295095729462089
3972.67,0.00288873459040011
3972.19,0.00275806254041604
3971.71,0.0027328451151271
3971.23,0.00269433646345253
3970.74,0.00284102110662161
3970.26,0.00262689346194601
3969.78,0.00262589953443408
3969.3,0.00273804062193167
3968.82,0.00266834071357425
3968.34,0.0025976619004376
3967.86,0.00271663301274228
3967.38,0.00266475512340796
3966.9,0.00260414381925343
3966.42,0.00247572862447478
3965.93,0.00243419278411456
3965.45,0.00234270625844083
3964.97,0.00226324918555194
3964.49,0.0022767171794163
3964.01,0.00234097155948987
3963.53,0.00220756783077779
3963.04,0.00226867861283626
3962.56,0.00231467341460691
3962.08,0.00243060753736102
3961.6,0.00253184050698299
3961.12,0.00254117140273854
3960.63,0.0024412900696106
3960.15,0.00261845790982701
3959.67,0.00252698596221354
3959.19,0.00236771943911817
3958.71,0.0023565193556121
3958.22,0.00223466888186217
3957.74,0.00233405294280537
3957.26,0.00233583879648567
3956.77,0.00230965118960345
3956.29,0.00220463938282382
3955.81,0.002168143836198
3955.33,0.00214328101654971
3954.84,0.00212686437589035
3954.36,0.00207923747641131
3953.88,0
3953.39,0
3952.91,0
3952.43,0
3951.94,0
3951.46,0
3950.98,0
3950.49,0
3950.01,0
3949.53,0
3949.04,0
3948.56,0
3948.07,0
3947.59,0
3947.11,0
3946.62,0
3946.14,0
3945.65,0
3945.17,0
3944.69,0
3944.2,0
3943.72,0
3943.23,0
3942.75,0
3942.26,0
3941.78,0
3941.29,0
3940.81,0
3940.32,0
3939.84,0
3939.35,0
3938.87,0
3938.38,0
3937.9,0
3937.41,0
3936.93,0
3936.44,0
3935.95,0
3935.47,0
3934.98,0
3934.5,0
3934.01,0
3933.52,0
3933.04,0
3932.55,0
3932.07,0
3931.58,0
3931.09,0
3930.61,0
3930.12,0
3929.63,0
3929.15,0
3928.66,0
3928.17,0
3927.69,0
3927.2,0
3926.71,0
3926.23,0
3925.74,0
3925.25,0
3924.76,0
3924.28,0
3923.79,0
3923.3,0
3922.81,0
3922.33,0
3921.84,0
3921.35,0
3920.86,0
3920.38,0
3919.89,0
3919.4,0
3918.91,0
3918.42,0
3917.94,0
3917.45,0
3916.96,0
3916.47,0
3915.98,0
3915.49,0
3915,0
3914.52,0
3914.03,0
3913.54,0
3913.05,0
3912.56,0
3912.07,0
3911.58,0
3911.09,0
3910.6,0
3910.11,0
3909.62,0
3909.14,0
3908.65,0
3908.16,0
3907.67,0
3907.18,0
3906.69,0
3906.2,0
3905.71,0
3905.22,0
3904.73,0
3904.24,0
3903.75,0
3903.26,0
3902.77,0
3902.27,0
3901.78,0
3901.29,0
3900.8,0
3900.31,0
3899.82,0
3899.33,0
3898.84,0
3898.35,0
3897.86,0
3897.37,0
3896.87,0
3896.38,0
3895.89,0
3895.4,0
3894.91,0
3894.42,0
3893.93,0
3893.43,0
3892.94,0
3892.45,0
3891.96,0
3891.47,0
3890.97,0
3890.48,0
3889.99,0
3889.5,0
3889.01,0
3888.51,0
3888.02,0
3887.53,0
3887.03,0
3886.54,0
3886.05,0
3885.56,0
3885.06,0
3884.57,0
3884.08,0
3883.58,0
3883.09,0
3882.6,0
3882.1,0
3881.61,0
3881.12,0
3880.62,0
3880.13,0
3879.64,0
3879.14,0
3878.65,0
3878.15,0
3877.66,0
3877.17,0
3876.67,0
3876.18,0
3875.68,0
3875.19,0
3874.7,0
3874.2,0
3873.71,0
3873.21,0
3872.72,0
3872.22,0
3871.73,0
3871.23,0
3870.74,0
3870.24,0
3869.75,0
3869.25,0
3868.76,0
3868.26,0
3867.77,0
3867.27,0
3866.77,0
3866.28,0
3865.78,0
3865.29,0
3864.79,0
3864.3,0
3863.8,0
3863.3,0
3862.81,0
3862.31,0
3861.81,0
3861.32,0
3860.82,0
3860.33,0
3859.83,0
3859.33,0
3858.84,0
3858.34,0
3857.84,0
3857.35,0
3856.85,0
3856.35,0
3855.85,0
3855.36,0
3854.86,0
3854.36,0
3853.86,0
3853.37,0
3852.87,0
3852.37,0
3851.87,0
3851.38,0
3850.88,0
3850.38,0
3849.88,0
3849.38,0
3848.89,0
3848.39,0
3847.89,0
3847.39,0
3846.89,0
3846.39,0
3845.9,0
3845.4,0
3844.9,0
3844.4,0
3843.9,0
3843.4,0
3842.9,0
3842.4,0
3841.91,0
3841.41,0
3840.91,0
3840.41,0
3839.91,0
3839.41,0
3838.91,0
3838.41,0
3837.91,0
3837.41,0
3836.91,0
3836.41,0
3835.91,0
3835.41,0
3834.91,0
3834.41,0
3833.91,0
3833.41,0
3832.91,0
3832.41,0
3831.91,0
3831.41,0
3830.91,0
3830.4,0
3829.9,0
3829.4,0
3828.9,0
3828.4,0
3827.9,0
3827.4,0
3826.9,0
3826.4,0
3825.89,0
3825.39,0
3824.89,0
3824.39,0
3823.89,0
3823.39,0
3822.88,0
3822.38,0
3821.88,0
3821.38,0
3820.88,0
3820.37,0
3819.87,0
3819.37,0
3818.87,0
3818.36,0
3817.86,0
3817.36,0
3816.86,0
3816.35,0
3815.85,0
3815.35,0
3814.84,0
3814.34,0
3813.84,0
3813.33,0
3812.83,0
3812.33,0
3811.82,0
3811.32,0
3810.82,0
3810.31,0
3809.81,0
3809.31,0
3808.8,0
3808.3,0
3807.79,0
3807.29,0
3806.79,0
3806.28,0
3805.78,0
3805.27,0
3804.77,0
3804.26,0
3803.76,0
3803.25,0
3802.75,0
3802.24,0
3801.74,0
3801.23,0
3800.73,0
3800.22,0
3799.72,0
3799.21,0
3798.71,0
3798.2,0
3797.7,0
3797.19,0
3796.69,0
3796.18,0
3795.67,0
3795.17,0
3794.66,0
3794.16,0
3793.65,0
3793.14,0
3792.64,0
3792.13,0
3791.63,0
3791.12,0
3790.61,0
3790.11,0
3789.6,0
3789.09,0
3788.59,0
3788.08,0
3787.57,0
3787.06,0
3786.56,0
3786.05,0
3785.54,0
3785.04,0
3784.53,0
3784.02,0
3783.51,0
3783.01,0
3782.5,0
3781.99,0
3781.48,0
3780.97,0
3780.47,0
3779.96,0
3779.45,0
3778.94,0
3778.43,0
3777.93,0
3777.42,0
3776.91,0
3776.4,0
3775.89,0
3775.38,0
3774.87,0
3774.36,0
3773.86,0
3773.35,0
3772.84,0
3772.33,0
3771.82,0
3771.31,0
3770.8,0
3770.29,0
3769.78,0
3769.27,0
3768.76,0
3768.25,0
3767.74,0
3767.23,0
3766.72,0
3766.21,0
3765.7,0
3765.19,0
3764.68,0
3764.17,0
3763.66,0
3763.15,0
3762.64,0
3762.13,0
3761.62,0
3761.11,0
3760.6,0
3760.09,0
3759.57,0
3759.06,0
3758.55,0
3758.04,0
3757.53,0
3757.02,0
3756.51,0
3756,0
3755.48,0
3754.97,0
3754.46,0
3753.95,0
3753.44,0
3752.92,0
3752.41,0
3751.9,0
3751.39,0
3750.88,0
3750.36,0
3749.85,0
3749.34,0
3748.83,0
3748.31,0
3747.8,0
3747.29,0
3746.78,0
3746.26,0
3745.75,0
3745.24,0
3744.72,0
3744.21,0
3743.7,0
3743.18,0
3742.67,0
3742.16,0
3741.64,0
3741.13,0
3740.61,0
3740.1,0
3739.59,0
3739.07,0
3738.56,0
3738.04,0
3737.53,0
3737.02,0
3736.5,0
3735.99,0
3735.47,0
3734.96,0
3734.44,0
3733.93,0
3733.41,0
3732.9,0
3732.38,0
3731.87,0
3731.35,0
3730.84,0
3730.32,0
3729.81,0
3729.29,0
3728.78,0
3728.26,0
3727.75,0
3727.23,0
3726.71,0
3726.2,0
3725.68,0
3725.17,0
3724.65,0
3724.13,0
3723.62,0
3723.1,0
3722.59,0
3722.07,0
3721.55,0
3721.04,0
3720.52,0
3720,0
3719.49,0
3718.97,0
3718.45,0
3717.93,0
3717.42,0
3716.9,0
3716.38,0
3715.87,0
3715.35,0
3714.83,0
3714.31,0
3713.8,0
3713.28,0
3712.76,0
3712.24,0
3711.72,0
3711.21,0
3710.69,0
3710.17,0
3709.65,0
3709.13,0
3708.61,0
3708.1,0
3707.58,0
3707.06,0
3706.54,0
3706.02,0
3705.5,0
3704.98,0
3704.46,0
3703.95,0
3703.43,0
3702.91,0
3702.39,0
3701.87,0
3701.35,0
3700.83,0
3700.31,0
3699.79,0
3699.27,0
3698.75,0
3698.23,0
3697.71,0
3697.19,0
3696.67,0
3696.15,0
3695.63,0
3695.11,0
3694.59,0
3694.07,0
3693.55,0
3693.03,0
3692.51,0
3691.99,0
3691.46,0
3690.94,0
3690.42,0
3689.9,0
3689.38,0
3688.86,0
3688.34,0
3687.82,0
3687.29,0
3686.77,0
3686.25,0
3685.73,0
3685.21,0
3684.69,0
3684.16,0
3683.64,0
3683.12,0
3682.6,0
