category,name,structure,CAS,mw,mp,density
acetylene,acetylene,H2C≡CH2,74-86-2,26.04,-84(s),1
acetylene,diphenylacetylene,C6H5C≡CC6H5,501-65-5,178.23,8.9473684210526E+14/100000000000000,0.99
acid dichloride,adipoyl chloride,ClC(O)(CH2)4C(O)Cl,111-50-2,183.03,,1.259
acid dichloride,azelaoyl chloride,ClC(O)(CH2)7C(O)Cl,123-98-8,255.12,,1.143
acid dichloride,diethylmanoyl chloride,ClC(O)C(CH2CH3)2C(O)Cl,54505-72-5,197.06,,1.145
acid dichloride,dodecanedioyl chloride,ClC(O)(CH2)10C(O)Cl,4834-98-4,267.2,,1.069
acid dichloride,glutaryl chloride,ClC(O)(CH2)3C(O)Cl,2873-74-7,169.01,,1.324
acid dichloride,isophthaloyl chloride,ClC(O)C6H4C(O)Cl,99-63-8,203.02,43,
acid dichloride,malonyl chloride,ClC(O)CH2C(O)Cl,1663-67-8,140.95,,1.449
acid dichloride,methylpimeloyl chloride,ClC(O)(CH2)2CH(CH3)(CH2)2C(O)Cl,44987-62-4,197.06,,1.217
acid dichloride,oxalyl chloride,ClC(O)CO-COC(O)Cl,79-37-8,126.93,-8,1.455
acid dichloride,phthaloyl chloride,ClC(O)C6H4C(O)Cl,88-95-9,203.02,12,1.409
acid dichloride,pimeloyl chloride,ClC(O)(CH2)5C(O)Cl,142-79-0,197.06,,1.205
acid dichloride,sebacoyl chloride,ClC(O)(CH2)8C(O)Cl,111-19-3,239.14,-2.5,1.121
acid dichloride,suberoyl chloride,ClC(O)(CH2)6C(O)Cl,10027-07-3,211.09,,1.172
acid dichloride,succinyl chloride,ClC(O)(CH2)2C(O)Cl,543-20-4,154.98,16,1.407
acid dichloride,terephthaloyl chloride,ClC(O)C6H4C(O)Cl,100-20-9,203.02,80,
acid dichloride,thionyl chloride,ClS(O)Cl,7719-09-07,118.97,-105,1.631
acrolein,acrolein,HC(O)CH=CH2,107-02-8,56.06,-87,0.839
acrolein,trans-3-methylacrolein,HC(O)CH=CHCH3,123-73-9,70.09,104,0.846
acrolein,2-methylacrolein,HC(O)CCH3=CH2,78-85-3,70.09,-81,0.847
acrylamide,N-acetoxymethyl(methoxy)acrylamide,"H2C=CHC(O)NRR',  R=C(OCH3)C(O)OCH3, R'=H",77402-03-0,173.17,73,
acrylamide,N-acetylacrylamide,"H2C=CHC(O)NRR',  R=C(O)CH3, R'=H",1432-45-7,113.12,129,
acrylamide,acrylamide,H2C=CHC(O)NH2,1979-06-01,71.08,,1.122
acrylamide,acrylamidoglycolic acid,"H2C=CHC(O)NRR',  R=CH(OH)C(O)OH, R'=H",6737-24-2,163.13,,
acrylamide,"acrylamidoglycolic acid, methyl ester","H2C=CHC(O)NRR',  R=CH(OH)C(O)OCH3, R'=H",77402-03-0,173.17,74,
acrylamide,N-adamantylacrylamide,"H2C=CHC(O)NRR',  R=C10H5, R'=H",19026-83-6,205.3,155,
acrylamide,N-allylacrylamide,"H2C=CHC(O)NRR',  R=CH2CH=CH2, R'=H",2555-13-7,111.14,,
acrylamide,N-benzylacrylamide,"H2C=CHC(O)NRR',  R=CH2C6H5, R'=H",13304-62-6,161.2,70,
acrylamide,N-butoxymethylacrylamide,"H2C=CHC(O)NRR',  R=CH2O(CH2)3CH3, R'=H",1852-16-0,157.21,-9,0.979
acrylamide,N-tert-butylacrylamide,"H2C=CHC(O)NRR',  R=C(CH3)3, R'=H",107-58-4,127.19,128,
acrylamide,N-cyclohexylacrylamide,"H2C=CHC(O)NRR',  R=C6H11, R'=H",3066-72-6,153.23,113,
acrylamide,"N,N'-cystaminebisacrylamide","H2C=CHC(O)NRR',  R=CH2CH2SSCH2CH2-, R'=H",60984-57-8,260.38,123,
acrylamide,N-diacetoneacrylamide,"H2C=CHC(O)NRR',  R=C(CH3)2CH2C(O)CH3, R'=H",2873-97-4,169.23,55,
acrylamide,"N,N-diallylacrylamide","H2C=CHC(O)NRR',  R=CH2CH=CH2, R'=CH2CH=CH2",3085-68-5,151.21,,
acrylamide,"N,N-di-n-butylacrylamide","H2C=CHC(O)NRR',  R=(CH2)3CH3, R'=(CH2)3CH3",2274-13-7,183.29,,
acrylamide,"N,N-diethylacrylamide","H2C=CHC(O)NRR',  R=CH2CH3, R'=CH2CH3",2675-94-7,127.19,,
acrylamide,"N,N'-1,2-dihydroxyethylenebisacrylamide","H2C=CHC(O)NRR',  R=(-CH(OH)CH(OH)-), R'=H",868-63-3,200.19,156(d),
acrylamide,"N,N-diisopropylacrylamide","H2C=CHC(O)NRR',  R=CH(CH3)2, R'=CH(CH3)2",44975-46-4,155.24,,
acrylamide,"4,4-dimethoxybutylacrylamide","H2C=CHC(O)NRR',  R=(CH2)3CH(OCH3)2, R'=H",38486-53-2,187.24,18,
acrylamide,"N,N-dimethylacrylamide","H2C=CHC(O)NRR',  R=CH3, R'=CH3",2680-03-07,99.13,,0.962
acrylamide,N-diphenylmethylacrylamide,"H2C=CHC(O)NRR',  R=CH(C6H5)2, R'=H",10254-08-7,237.3,,
acrylamide,"N,N'-ethylenebisacrylamide","H2C=CHC(O)NRR',  R=(-CH2CH2-), R'=H",2956-58-3,168.2,140,
acrylamide,N-ethylhexylacrylamide,"H2C=CHC(O)NRR',  R=CH2CH(CH2CH3), R'=H",91625-16-0,183.3,,
acrylamide,"N,N'-hexamethylenebisacrylamide","H2C=CHC(O)NRR',  R=(-(CH2)6-), R'=H",7150-41-6,224.28,135,
acetylene,acetylene,H2C≡CH2,74-86-2,26.04,-84(s),1
acetylene,diphenylacetylene,C6H5C≡CC6H5,501-65-5,178.23,8.9473684210526E+14/100000000000000,0.99
acid dichloride,adipoyl chloride,ClC(O)(CH2)4C(O)Cl,111-50-2,183.03,,1.259
acid dichloride,azelaoyl chloride,ClC(O)(CH2)7C(O)Cl,123-98-8,255.12,,1.143
acid dichloride,diethylmanoyl chloride,ClC(O)C(CH2CH3)2C(O)Cl,54505-72-5,197.06,,1.145
acid dichloride,dodecanedioyl chloride,ClC(O)(CH2)10C(O)Cl,4834-98-4,267.2,,1.069
acid dichloride,glutaryl chloride,ClC(O)(CH2)3C(O)Cl,2873-74-7,169.01,,1.324
acid dichloride,isophthaloyl chloride,ClC(O)C6H4C(O)Cl,99-63-8,203.02,43,
acid dichloride,malonyl chloride,ClC(O)CH2C(O)Cl,1663-67-8,140.95,,1.449
acid dichloride,methylpimeloyl chloride,ClC(O)(CH2)2CH(CH3)(CH2)2C(O)Cl,44987-62-4,197.06,,1.217
acid dichloride,oxalyl chloride,ClC(O)CO-COC(O)Cl,79-37-8,126.93,-8,1.455
acid dichloride,phthaloyl chloride,ClC(O)C6H4C(O)Cl,88-95-9,203.02,12,1.409
acid dichloride,pimeloyl chloride,ClC(O)(CH2)5C(O)Cl,142-79-0,197.06,,1.205
acid dichloride,sebacoyl chloride,ClC(O)(CH2)8C(O)Cl,111-19-3,239.14,-2.5,1.121
acid dichloride,suberoyl chloride,ClC(O)(CH2)6C(O)Cl,10027-07-3,211.09,,1.172
acid dichloride,succinyl chloride,ClC(O)(CH2)2C(O)Cl,543-20-4,154.98,16,1.407
acid dichloride,terephthaloyl chloride,ClC(O)C6H4C(O)Cl,100-20-9,203.02,80,
acid dichloride,thionyl chloride,ClS(O)Cl,7719-09-07,118.97,-105,1.631
acrolein,acrolein,HC(O)CH=CH2,107-02-8,56.06,-87,0.839
acrolein,trans-3-methylacrolein,HC(O)CH=CHCH3,123-73-9,70.09,104,0.846
acrolein,2-methylacrolein,HC(O)CCH3=CH2,78-85-3,70.09,-81,0.847
acrylamide,N-acetoxymethyl(methoxy)acrylamide,"H2C=CHC(O)NRR',  R=C(OCH3)C(O)OCH3, R'=H",77402-03-0,173.17,73,
acrylamide,N-acetylacrylamide,"H2C=CHC(O)NRR',  R=C(O)CH3, R'=H",1432-45-7,113.12,129,
acrylamide,acrylamide,H2C=CHC(O)NH2,1979-06-01,71.08,,1.122
acrylamide,acrylamidoglycolic acid,"H2C=CHC(O)NRR',  R=CH(OH)C(O)OH, R'=H",6737-24-2,163.13,,
acrylamide,"acrylamidoglycolic acid, methyl ester","H2C=CHC(O)NRR',  R=CH(OH)C(O)OCH3, R'=H",77402-03-0,173.17,74,
acrylamide,N-adamantylacrylamide,"H2C=CHC(O)NRR',  R=C10H5, R'=H",19026-83-6,205.3,155,
acrylamide,N-allylacrylamide,"H2C=CHC(O)NRR',  R=CH2CH=CH2, R'=H",2555-13-7,111.14,,
acrylamide,N-benzylacrylamide,"H2C=CHC(O)NRR',  R=CH2C6H5, R'=H",13304-62-6,161.2,70,
acrylamide,N-butoxymethylacrylamide,"H2C=CHC(O)NRR',  R=CH2O(CH2)3CH3, R'=H",1852-16-0,157.21,-9,0.979
acrylamide,N-tert-butylacrylamide,"H2C=CHC(O)NRR',  R=C(CH3)3, R'=H",107-58-4,127.19,128,
acrylamide,N-cyclohexylacrylamide,"H2C=CHC(O)NRR',  R=C6H11, R'=H",3066-72-6,153.23,113,
acrylamide,"N,N'-cystaminebisacrylamide","H2C=CHC(O)NRR',  R=CH2CH2SSCH2CH2-, R'=H",60984-57-8,260.38,123,
acrylamide,N-diacetoneacrylamide,"H2C=CHC(O)NRR',  R=C(CH3)2CH2C(O)CH3, R'=H",2873-97-4,169.23,55,
acrylamide,"N,N-diallylacrylamide","H2C=CHC(O)NRR',  R=CH2CH=CH2, R'=CH2CH=CH2",3085-68-5,151.21,,
acrylamide,"N,N-di-n-butylacrylamide","H2C=CHC(O)NRR',  R=(CH2)3CH3, R'=(CH2)3CH3",2274-13-7,183.29,,
acrylamide,"N,N-diethylacrylamide","H2C=CHC(O)NRR',  R=CH2CH3, R'=CH2CH3",2675-94-7,127.19,,
acrylamide,"N,N'-1,2-dihydroxyethylenebisacrylamide","H2C=CHC(O)NRR',  R=(-CH(OH)CH(OH)-), R'=H",868-63-3,200.19,156(d),
acrylamide,"N,N-diisopropylacrylamide","H2C=CHC(O)NRR',  R=CH(CH3)2, R'=CH(CH3)2",44975-46-4,155.24,,
acrylamide,"4,4-dimethoxybutylacrylamide","H2C=CHC(O)NRR',  R=(CH2)3CH(OCH3)2, R'=H",38486-53-2,187.24,18,
acrylamide,"N,N-dimethylacrylamide","H2C=CHC(O)NRR',  R=CH3, R'=CH3",2680-03-07,99.13,,0.962
acrylamide,N-diphenylmethylacrylamide,"H2C=CHC(O)NRR',  R=CH(C6H5)2, R'=H",10254-08-7,237.3,,
acrylamide,"N,N'-ethylenebisacrylamide","H2C=CHC(O)NRR',  R=(-CH2CH2-), R'=H",2956-58-3,168.2,140,
acrylamide,N-ethylhexylacrylamide,"H2C=CHC(O)NRR',  R=CH2CH(CH2CH3), R'=H",91625-16-0,183.3,,
acrylamide,"N,N'-hexamethylenebisacrylamide","H2C=CHC(O)NRR',  R=(-(CH2)6-), R'=H",7150-41-6,224.28,135,
acrylamide,N-tert-hexylacrylamide,"H2C=CHC(O)NRR',  R=CH2CH2C(CH3)3, R'=H",51330-07-5,155.24,100,
acrylamide,"N-hydroxymethylacrylamide, solution","H2C=CHC(O)NRR',  R=CH2OH, R'=H",924-42-5,101.11,,1.074
acrylamide,N-isobornylacrylamide,"H2C=CHC(O)NRR',  R=C10H17, R'=H",17159-04-5,207.31,135,
acrylamide,N-isobutoxymethylacrylamide,"H2C=CHC(O)NRR',  R=CH2OCH2CH(CH3)2, R'=H",16669-59-3,157.21,,0.97
acrylamide,N-isopropylacrylamide,"H2C=CHC(O)NRR',  R=CH(CH3)2, R'=H",2210-25-5,113.16,61,
acrylamide,N-3-methoxypropylacrylamide,"H2C=CHC(O)NRR',  R=(CH2)3OCH3, R'=H",107374-86-7,143.19,,
acrylamide,N-methylacrylamide,"H2C=CHC(O)NRR',  R=CH3, R'=H",1187-59-3,85.11,,
acrylamide,"N,N'-methylenebisacrylamide","H2C=CHC(O)NRR',  R=(-CH2-), R'=H",110-26-9,154.17,>300,
acrylamide,N-methyl-tri(hydroxymethyl)acrylamide,"H2C=CHC(O)NRR',  R=C(CH2OH)3, R'=H",13880-05-2,175.18,139,
acrylamide,N-morpholinoethylacrylamide,"H2C=CHC(O)NRR',  R=CH2CH2NC4H8O, R'=H",5117-12-04,141.17,>110,1.122
acrylamide,N-1-naphthylacrylamide,"H2C=CHC(O)NRR',  R=C10H7, R'=H",22302-62-1,197.24,138,
acrylamide,N-octadecylacrylamide,"H2C=CHC(O)NRR',  R=(CH2)17CH3, R'=H",1506-54-3,323.56,75,
acrylamide,"N,N'-octamethylenebisacrylamide","H2C=CHC(O)NRR',  R=(-(CH2)8-), R'=H",2945-02-08,252.35,138,
acrylamide,N-tert-octylacrylamide,"H2C=CHC(O)NRR',  R=(CH2)4C(CH3)3, R'=H",4223-03-04,183.29,58,
acrylamide,N-phthalamidomethylacrylamide,"H2C=CHC(O)NRR',  R=CH2NC8H4O2, R'=H",80500-94-3,230.22,190,
acrylamide,N-propyl-3-(dimethylamino)acrylamide,"H2C=CHC(O)NRR',  R=(CH2)3N(CH3)2, R'=H",3845-76-9,156.23,,0.949
