sep=;
"Title: CAMX - The Composites and Advanced Materials Expo, September 26-29, 2016 - Conference/September 27-29, 2016 - Exhibits, Anaheim Convention Center/Anaheim, California";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 1. Coefficient of Thermal Expansion, CTE for Fused Deposition Modeling, FDM Materials and Common Traditional Tooling Materials";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"material";"material type";"coefficient of thermal expansion (10-6 °C-1)";"coefficient of thermal expansion (10-6 °F-1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acrylonitrile butadiene styrene/Acrylonitrile styrene acrylate, ABS / ASA";"Fused deposition modeling, FDM Materials";"88";"49";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polycarbonate, PC";"Fused deposition modeling, FDM Materials";"79";"45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ST-130 (sacrificial tooling)";"Fused deposition modeling, FDM Materials";"106";"59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ULTEMTM 1010 Support (sacrificial tooling)";"Fused deposition modeling, FDM Materials";"58";"32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ULTEMTM 9085";"Fused deposition modeling, FDM Materials";"65";"37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ULTEMTM 1010";"Fused deposition modeling, FDM Materials";"47";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tooling Boards";"Conventional tooling materials";"36 - 72";"20 - 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Aluminum alloy (AL 6061-T6)";"Conventional tooling materials";"25";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Tool Steel";"Conventional tooling materials";"12";"6.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Carbon/epoxy";"Conventional tooling materials";"8";"4.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Invar";"Conventional tooling materials";"1.2";"0.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CAMX - The Composites and Advanced Materials Expo, September 26-29, 2016 - Conference/September 27-29, 2016 - Exhibits, Anaheim Convention Center/Anaheim, California © 2016 Society for the Advancement of Material and Process Engineering (SAMPE) ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
