polymer,mp,mw
Poly( 3-bromo-decamethylene pyromelltimide) (imide),291.0,433.3
Poly( 3-methyl-hexamethylene adipamide) (diacid),216.0,240.35
Poly( 3-methyl-hexamethylene sebacamide) (diamine),153.0,296.46
Poly( tetramethyl-ethylene disiloxanylenedipropionamide) (silicone),55.0,302.52
Poly( trans-1-methyl-2-propoxyethylene),168.0,100.16
"Poly(1,1-bischloromethylethylene oxide)",180.0,141.0
"Poly(1,1-dichloro-3-ethyl-3-hydroxypropionic acid)",235.0,169.01
"Poly(1,1-dimethyl-p-phenyleneethylene adipamide) (diamine)",235.0,274.36
"Poly(1,1-dimethyl-p-phenyleneethylene sebacamide) (diamine)",205.0,330.47
"Poly(1,1-dimethyl-p-phenyleneethylene succinamide) (diamine)",250.0,246.31
"Poly(1,2-cyclohexylene sulfide)",130.0,114.21
"Poly(1,2-cyclohexylene sulfone)",284.0,146.21
"Poly(1,3,5-hexatriene), 1,6-",250.0,80.13
"Poly(1,3-cyclohexylene sulfide)",139.0,114.21
"Poly(1,3-cyclohexylene sulfone)",309.0,146.21
"Poly(1,4-cyclohexylene 3,3'-methylenedibenzamide)",174.0,334.42
"Poly(1,4-dihydro-4-oxo-decamethylene 2,6-pyridinedicarboxamide)",137.0,319.41
"Poly(1,4-dihydro-4-oxo-octamethylene 2,6-pyridinedicarboxamide)",86.0,291.35
"Poly(1,4-dimethyl-tetramethylene hexamethylenediurethane) (diol)",104.0,286.37
"Poly(1,4-piperazinediethylene hexamethylenediurethane)",165.0,342.44
"Poly(1,4-piperazinediethylene sulfone)",200.0,204.29
"Poly(1,4-piperidene urethane)",270.0,127.14
"Poly(1,4-β-D-glucose tricaprate)",88.0,624.9
"Poly(1,4-β-D-glucose tricaproate)",94.0,456.58
"Poly(1,4-β-D-glucose triheptylate)",88.0,498.66
"Poly(1,4-β-D-glucose trilaurate)",91.0,709.06
"Poly(1,4-β-D-glucose trimyristate)",106.0,793.22
"Poly(1,4-β-D-glucose tripalmitate)",105.0,877.38
"Poly(1,4-β-D-glucose trivalerate)",122.0,414.5
"Poly(1,5-naphthalene-3',3''-dimethoxy-4',4''-dibenzylidenimino isophthalate)",220.0,556.58
"Poly(1,5-naphthalene-3',3''-dimethoxy-4',4''-dibenzylidenimino sebacate)",180.0,592.69
"Poly(1,5-naphthalene-3',3''-dimethoxy-4',4''-dibenzylidenimino terephthalate)",230.0,556.58
"Poly(1-amino-2,5-decamethylene-1,3,4-triazole) (triazole)",242.0,222.34
"Poly(1-amino-2,5-heptamethylene-1,3,4-triazole)",237.0,180.26
"Poly(1-amino-2,5-hexamethylene-1,3,4-triazole) (triazole)",275.0,166.23
"Poly(1-amino-2,5-octamethylene-1,3,4-triazole) (triazole)",258.0,194.28
"Poly(1-amino-2,5-pentamethylene-1,3,4-triazole)",260.0,152.2
"Poly(1-amino-2,5-tetramethylene-1,3,4-triazole)",300.0,138.17
