polymer,synonyms,mol.weight,mp
Poly(cis-2-butenylene hexamethylenediurethane),,256.3,136.0
Poly(trans-2-butene sulfide),,256.3,177.0
"Poly(4,4'-butylidenediphenylene carbonate)",,268.31,170.0
"Poly[4,4'-(2,2-butylidene)-diphenylene carbonate]",,268.31,222.0
Poly(caprylaldehyde),,128.22,35.0
Poly[m-(carboxyphenoxy)-acetic anhydride],,178.14,134.0
Poly[3-bromo-p-(carboxyphenoxy)-acetic anhydride],,257.04,179.0
"Poly(trans-1,4-poly-1,3-cyclohexadiene)",,80.13,380.0
Poly(cyclohexene oxide),,98.14,126.0
"Poly(cis-1,3-cyclohexylene adipamide)",,224.3,170.0
"Poly(trans-1,3-cyclohexylene adipamide)",,224.3,300.0
"Poly(1,4-cyclohexylene adipamide)",,224.3,400.0
"Poly(cis-1,3-cyclohexylene azelamide)",,266.38,125.0
"Poly(trans-1,3-cyclohexylene azelamide)",,266.38,300.0
"Poly(1,4-cyclohexylene 3,3'-dibenzamide)",,320.39,390.0
"Poly(cis-1,4-cyclohexylenedimethylene adipamide)",,252.36,246.0
"Poly(cis-1,4-cyclohexylenedimethylene adipamide)",,252.36,225.0
"Poly(trans-1,4-cyclohexylenedimethylene adipamide)",,252.36,345.0
"Poly(trans-1,4-cyclohexylenedimethylene adipamide)",,252.36,342.0
"Poly(trans-1,4-cyclohexylenedimethylene adipamide)",,252.36,347.0
"Poly(cis-1,4-cyclohexylenedimethylene azelamide)",,294.44,195.0
"Poly(trans-1,4-cyclohexylenedimethylene azelamide)",,294.44,275.0
"Poly(cis-1,4-cyclohexylenedimethylene azelate)",,296.41,41.0
"Poly(trans-1,4-cyclohexylenedimethylene azelate)",,296.41,50.0
"Poly(cis-1,4-cyclohexylenedimethylene trans-1,4-cyclohexylenedicarboxylate)",,280.36,205.0
"Poly(trans-1,4-cyclohexylenedimethylene trans-1,4-cyclohexylenedicarboxylate)",,280.36,246.0
"Poly(trans-1,4-cyclohexylenedimethylene dithiol-trans-1,4-cyclohexylenedicarboxylate)",,312.49,310.0
"Poly(cis-1,4-cyclohexylenedimethylene dodecanediamide)",,336.52,215.0
"Poly(cis-1,4-cyclohexylenedimethylene dodecanediamide)",,336.52,190.0
Poly(cis-2-butenylene hexamethylenediurethane),,256.3,136.0
Poly(trans-2-butene sulfide),,256.3,177.0
"Poly(4,4'-butylidenediphenylene carbonate)",,268.31,170.0
"Poly[4,4'-(2,2-butylidene)-diphenylene carbonate]",,268.31,222.0
Poly(caprylaldehyde),,128.22,35.0
Poly[m-(carboxyphenoxy)-acetic anhydride],,178.14,134.0
Poly[3-bromo-p-(carboxyphenoxy)-acetic anhydride],,257.04,179.0
"Poly(trans-1,4-poly-1,3-cyclohexadiene)",,80.13,380.0
Poly(cyclohexene oxide),,98.14,126.0
"Poly(cis-1,3-cyclohexylene adipamide)",,224.3,170.0
"Poly(trans-1,3-cyclohexylene adipamide)",,224.3,300.0
"Poly(1,4-cyclohexylene adipamide)",,224.3,400.0
"Poly(cis-1,3-cyclohexylene azelamide)",,266.38,125.0
"Poly(trans-1,3-cyclohexylene azelamide)",,266.38,300.0
"Poly(1,4-cyclohexylene 3,3'-dibenzamide)",,320.39,390.0
"Poly(cis-1,4-cyclohexylenedimethylene adipamide)",,252.36,246.0
"Poly(cis-1,4-cyclohexylenedimethylene adipamide)",,252.36,225.0
"Poly(trans-1,4-cyclohexylenedimethylene adipamide)",,252.36,345.0
"Poly(trans-1,4-cyclohexylenedimethylene adipamide)",,252.36,342.0
"Poly(trans-1,4-cyclohexylenedimethylene adipamide)",,252.36,347.0
"Poly(cis-1,4-cyclohexylenedimethylene azelamide)",,294.44,195.0
"Poly(trans-1,4-cyclohexylenedimethylene azelamide)",,294.44,275.0
"Poly(cis-1,4-cyclohexylenedimethylene azelate)",,296.41,41.0
"Poly(trans-1,4-cyclohexylenedimethylene azelate)",,296.41,50.0
"Poly(cis-1,4-cyclohexylenedimethylene trans-1,4-cyclohexylenedicarboxylate)",,280.36,205.0
"Poly(trans-1,4-cyclohexylenedimethylene trans-1,4-cyclohexylenedicarboxylate)",,280.36,246.0
"Poly(trans-1,4-cyclohexylenedimethylene dithiol-trans-1,4-cyclohexylenedicarboxylate)",,312.49,310.0
"Poly(cis-1,4-cyclohexylenedimethylene dodecanediamide)",,336.52,215.0
"Poly(cis-1,4-cyclohexylenedimethylene dodecanediamide)",,336.52,190.0
"Poly(trans-1,4-cyclohexylenedimethylene dodecanediamide)",,336.52,278.0
"Poly(trans-1,4-cyclohexylenedimethylene dodecanediamide)",,336.52,280.0
"Poly(cis-1,4-cyclohexylenedimethylene dodecanedioate)",,338.49,46.0
"Poly(trans-1,4-cyclohexylenedimethylene dodecanedioate)",,338.49,85.0
"Poly[trans-1,4-cyclohexylenedimethylene (ethylenedithio)-diethylenediurethane]",,376.53,121.0
"Poly(cis-1,4-cyclohexylenedimethylene glutaramide)",,238.33,167.0
"Poly(trans-1,4-cyclohexylenedimethylene glutaramide)",,238.33,290.0
"Poly(trans-1,4-cyclohexylenedimethylene glutarate)",,240.3,50.0
"Poly[trans-1,4-cyclohexylenedimethylene (hexamethylenedithio)-diethylenediurethane]",,432.64,124.0
"Poly(trans-1,4-cyclohexylenedimethylene isophthalamide)",,272.35,310.0
"Poly(trans-1,4-cyclohexylenedimethylene isophthalate)",,274.32,197.0
"Poly(cis-1,4-cyclohexylenedimethylene 2,6-naphthalate)",,324.38,287.0
"Poly(trans-1,4-cyclohexylenedimethylene 2,6-naphthalate)",,324.38,341.0
"Poly(trans-1,4-cyclohexylenedimethylene octamethylenediurethane)",,340.46,160.0
"Poly(trans-1,4-cyclohexylenedimethylene octamethylenediurethane)",,340.46,160.0
"Poly(trans-1,4-cyclohexylenedimethylene oxalate)",,198.22,215.0
"Poly(trans-1,4-cyclohexylenedimethylene)-oxymethylene oxide)",,156.22,78.0
"Poly(trans-1,4-cyclohexylenedimethylene)-oxymethylene oxide)",,156.22,86.0
"Poly[trans-1,4-cylohexylenedimethylene (pentamethylenedithio)-diethylenediurethane]",,418.61,102.0
"Poly(cis-1,4-cyclohexylenedimethylene p-phenylenediacetate)",,302.37,55.0
"Poly(cis-1,4-cyclohexylenedimethylene pimelamide)",,266.38,191.0
"Poly(trans-1,4-cyclohexylenedimethylene pimelamide)",,266.38,293.0
"Poly(trans-1,4-cyclohexylenedimethylene pimelate)",,268.35,42.0
"Poly(cis-1,4-cyclohexylenedimethylene sebacamide)",,308.47,208.0
"Poly(cis-1,4-cyclohexylenedimethylene sebacamide)",,308.47,200.0
"Poly(trans-1,4-cyclohexylenedimethylene sebacamide)",,308.47,300.0
"Poly(trans-1,4-cyclohexylenedimethylene sebacamide)",,308.47,296.0
"Poly(trans-1,4-cyclohexylenedimethylene sebacamide)",,308.47,292.0
"Poly(cis-1,4-cyclohexylenedimethylene sebacate)",,310.43,50.0
"Poly(trans-1,4-cyclohexylenedimethylene sebacate)",,310.43,78.0
"Poly(cis-1,4-cyclohexylenedimethylene suberamide)",,280.41,215.0
"Poly(trans-1,4-cyclohexylenedimethylene suberamide)",,280.41,311.0
"Poly(cis-1,4-cyclohexylenedimethylene suberate)",,282.38,50.0
"Poly(trans-1,4-cyclohexylenedimethylene suberate)",,282.38,96.0
"Poly[trans-1,4-cyclohexylenedimethylene (tetramethylenedithio)-diethylenediurethane]",,404.58,129.0
"Poly[trans-1,4-cyclohexylenedimethylene (trimethylenedithio)-diethylenediurethane]",,390.56,105.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene adipamide]",,340.46,196.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene 4,4'-(ethylenedioxy)-dibenzamide]",,496.6,250.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene 4,4'-(hexamethylenedioxy)-dibenzamide]",,552.71,215.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene oxamide]",,284.36,246.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene 4,4'-(oxydiethylenedioxy)-dibenzamide]",,540.66,125.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene (p-phenylenedioxy)-diacetamide]",,420.51,160.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene terephthalamide",,360.45,384.0
"Poly[(1,4-cyclohexylenedioxy)-ditrimethylene 4,4'-(tetramethylenedioxy)-dibenzamide]",,524.66,224.0
"Poly(trans-1,4-cyclohexylene dithiolsuccinate)",,230.35,302.0
"Poly[trans-1,4-cyclohexylene (ethylenedithio)-diethylenediurethane]",,348.48,214.0
"Poly[trans-1,4-cyclohexylene (hexamethylenedithio)-diethylene-diurethane]",,404.58,204.0
"Poly(1,4-cyclohexylene 3,3'-methylenedibenzamide)",,334.42,174.0
"Poly(trans-1,4-cyclohexylene octamethylenediurethane)",,312.41,255.0
"Poly(trans-1,4-cyclohexylene octamethylenediurethane)",,312.41,255.0
"Poly(trans-1,4-cyclohexylene octamethylenediurethane)",,312.41,221.0
"Poly(trans-1,4-cyclohexyleneoxymethylene oxide)",,128.17,209.0
"Poly[trans-1,4-cyclohexylene (pentamethylenedithio)-diethylene-diurethane]",,390.56,189.0
"Poly(cis-1,3-cyclohexylene sebacamide)",,280.41,120.0
"Poly(trans-1,3-cyclohexylene sebacamide)",,280.41,290.0
"Poly(trans-1,4-cyclohexylene suberate)",,254.33,181.0
"Poly(1,2-cyclohexylene sulfide)",,114.21,130.0
"Poly(1,3-cyclohexylene sulfide)",,114.21,139.0
"Poly(1,2-cyclohexylene sulfone)",,146.21,284.0
"Poly(1,3-cyclohexylene sulfone)",,146.21,309.0
"Poly[trans-1,4-cyclohexylene (tetramethylenedithio)-diethylene-diurethane]",,376.53,214.0
