sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Melting Points of Polymers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymer";"synonyms/comments";"mol. weight";"melting pt. (°C)";"refs.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene sebacamide)";"";"226.32";"254";"291";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene sebacamide)";"";"226.32";"280";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene sebacate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylethylene sebacate) (diol)";"";"242.32";"-26";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene sebacoyldiurea)";"";"312.37";"228";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene sebacoyldiurethane)";"";"314.34";"198";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene suberate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylethylene suberate) (diol)";"";"214.26";"-34";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene succinate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylethylene succinate) (diol)";"";"158.15";"0";"765";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene sulfide)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tert-butyl-ethylene sulfide)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene 4,4'-sulfonyldibenzamide)";"";"330.36";"380";"1835";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene sulfonyldivalerate)";"";"292.35";"86";"1797";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylethylene sulfonyldivalerate) (diol)";"";"306.38";"68";"1797";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene L-tartaramide)";"";"174.16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene L-di-O-methyltartaramide)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene terephthalamide)";"";"190.2";"455";"829";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(N,N'-dimethyl-ethylene terephthalamide)";"";"218.26";"379";"829";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene terephthalate)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(chloroethylene terephthalate) (diacid)";"";"226.62";"92";"1913";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(2,5-dichloro-ethylene terephthalate)";"";"261.06";"165";"1913";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(2,5-dimethyl-ethylene terephthalate)";"";"220.22";"180";"1913";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylethylene terephthalate) (diacid)";"";"206.2";"70";"1913";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylethylene terephthalate) (diol)";"";"206.2";"111";"1794";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene N,N'-terephthaloyldi(6-aminocaproate)]";"";"418.49";"204";"1792";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene 2,5-tetrahydrofurandipropionamide)";"";"240.3";"218";"402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene 4,4'-tetramethylenedibenzoate)";"";"324.38";"170";"291";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly[ethylene 3,3'-(tetramethylenedioxy)-dibenzoate]";"";"356.37";"100";"111";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
