sep=;
"Title: Polymer Handbook (4th Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Abbreviations for Thermoplastics, Thermosets, Fibers, Elastomers, and Additives";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymeric material";"resulting polymer";"ASTM";"DIN";"ISO";"IUPAC";"other";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Plastic, carbon fiber reinforced, glass fiber reinforced";"";"";"";"";"GFK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Plastic, carbon fiber reinforced, man-made fiber reinforced";"";"";"";"";"CFK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Plastic, carbon fiber reinforced, metal fiber reinforced";"";"";"";"";"MFK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(acrylonitrile-co-styrene) +chlorinated poly(ethylene)";"";"";"";"";"ACS®";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Poly(styrene), rubber-modified";"SRP";"IPS";"";"";"HIPS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Sheet molding compound";"";"";"";"";"SMC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Sheet molding compound, with high glass fiber content";"";"HMC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polymer Handbook (4th Edition) © 1999; 2005 John Wiley & Sons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
