sep=;
"Title: Properties of Polymers - Their Correlation with Chemical Structure; Their Numerical Estimation and Prediction from Additive Group Contributions (4th, Completely Revised Edition)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Table 4.9. Data of Crystalline Polymers";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"polymer, average";"density of crystalline state, ρc (g/cm3)";"density of amorphous state, ρa (g/cm3)";"density ratio, ρc/ρa";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polyethylene";"1";"0.85";"1.18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polypropylene";"0.95";"0.85";"1.12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polybutene";"0.95";"0.86";"1.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polyisobutylene";"0.94";"0.84";"1.12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polypentene";"0.92";"0.85";"1.08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polystyrene";"1.13";"1.05";"1.08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(vinyl chloride)";"1.52";"1.39";"1.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(vinylidene fluoride)";"2";"1.74";"1.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(vinylidene chloride)";"1.95";"1.66";"1.17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(trifluorochloroethylene)";"2.19";"1.92";"1.14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetrafluoroethylene)";"2.35";"2";"1.17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(vinyl alcohol)";"1.35";"1.26";"1.07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methyl methacrylate)";"1.23";"1.17";"1.05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polybutadiene";"1.01";"0.89";"1.14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polyisoprene (cis)";"1.05";"0.91";"1.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polyisoprene (trans)";"1.05";"0.9";"1.16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Polyacetylene";"1.15";"1";"1.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(methylene oxide)";"1.54";"1.25";"1.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(propylene oxide)";"1.15";"1";"1.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(tetramethylene oxide)";"1.18";"0.98";"1.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(pivalo lactone)";"1.23";"1.08";"1.13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene terephthalate)";"1.5";"1.33";"1.13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Nylon 6";"1.23";"1.08";"1.14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Nylon 6,6";"1.24";"1.07";"1.16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Nylon 6,10";"1.19";"1.04";"1.14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(ethylene oxide)";"1.33";"1.12";"1.19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Poly(bisphenol A carbonate)";"1.31";"1.2";"1.09";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Average";"";"";"1.05 - 1.21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Properties of Polymers - Their Correlation with Chemical Structure; Their Numerical Estimation and Prediction from Additive Group Contributions (4th, Completely Revised Edition) © 2009 Elsevier";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
