# All extracted data are not described here not to violate the publisher's text data mining policy for use of scientific articles.
# True or false for the extracted datum is denoted by "1" in the TP or FP column (the 3rd or 2nd colmun from right), respectively.
# The excluded polymer data (denoted by "1" in the FN column (the rightmost column)) are also described here.

article-doi	table-label	polymer-name	property-sepcifier	property-value	property	TP	FP	FN
10.1016/j.polymer.2014.09.021	Table 1	Closed-cell polyurethane foams	Glass transition [°C]	100–150	Tg	1	0	0
10.1016/j.polymer.2014.11.021	Table 1	PEG-DA	Tg (°C)c	−55	Tg	1	0	0
10.1016/j.polymer.2014.11.021	Table 1	PEG-DA + 1 phr CNTs	Tg (°C)c	−47	Tg	1	0	0
10.1016/j.polymer.2014.11.021	Table 1	PEG-DA + 2 phr CNTs	Tg (°C)c	−25	Tg	1	0	0
10.1016/j.polymer.2014.11.054	Table 1	UPR	Tg °C	94	Tg	1	0	0
10.1016/j.polymer.2014.11.054	Table 1	2% CNC	Tg °C	97	Tg	0	0	1
10.1016/j.polymer.2014.11.054	Table 1	4% CNC	Tg °C	98	Tg	0	0	1
10.1016/j.polymer.2014.11.054	Table 1	6% CNC	Tg °C	96	Tg	0	0	1
10.1016/j.polymer.2014.11.054	Table 1	2% STCNC	Tg °C	97	Tg	0	0	1
10.1016/j.polymer.2014.11.054	Table 1	4% STCNC	Tg °C	98	Tg	0	0	1
10.1016/j.polymer.2014.11.054	Table 1	6% STCNC	Tg °C	99	Tg	0	0	1
10.1016/j.polymer.2014.11.057	Table 2	PRX1500Me-PU	Tg [°C]	−77	Tg	1	0	0
10.1016/j.polymer.2014.11.057	Table 2	PRX4000Me-PU	Tg [°C]	−75	Tg	1	0	0
10.1016/j.polymer.2014.11.057	Table 2	PRX6000Me-PU	Tg [°C]	−73	Tg	1	0	0
10.1016/j.polymer.2014.11.057	Table 2	CDMe-PU	Tg [°C]	−73	Tg	1	0	0
10.1016/j.polymer.2014.11.061	Table 2	RHBLPE-1	Tg (°C)	−51.6	Tg	1	0	0
10.1016/j.polymer.2014.11.061	Table 2	RHBLPE-2	Tg (°C)	−54.4	Tg	1	0	0
10.1016/j.polymer.2014.11.061	Table 2	RHBLPE-3	Tg (°C)	−62.0	Tg	1	0	0
10.1016/j.polymer.2014.12.002	Table 2	PEO600-85% Li	Tg (K)	253	Tg	1	0	0
10.1016/j.polymer.2014.12.002	Table 2	5% PEG600	Tg (K)	251	Tg	1	0	0
10.1016/j.polymer.2014.12.002	Table 2	10% PEG600	Tg (K)	238	Tg	1	0	0
10.1016/j.polymer.2014.12.002	Table 2	25% PEG600	Tg (K)	235	Tg	1	0	0
10.1016/j.polymer.2014.12.002	Table 2	50% PEG600	Tg (K)	221	Tg	1	0	0
10.1016/j.polymer.2014.12.005	Table 1	Poly(oAP-hda)	Tg (°C)	87	Tg	1	0	0
10.1016/j.polymer.2014.12.005	Table 1	Poly(oAP-dds)	Tg (°C)	193	Tg	1	0	0
10.1016/j.polymer.2014.12.009	Table 1	PEU-1	Tgc (°C)	64.1	Tg	1	0	0
10.1016/j.polymer.2014.12.009	Table 1	PEU-2	Tgc (°C)	47.4	Tg	1	0	0
10.1016/j.polymer.2014.12.009	Table 1	PEU-3	Tgc (°C)	5.43	Tg	1	0	0
10.1016/j.polymer.2014.12.009	Table 1	PEU-4	Tgc (°C)	−36.2	Tg	1	0	0
10.1016/j.polymer.2014.12.009	Table 1	PEU-5	Tgc (°C)	−38.3	Tg	1	0	0
